case_id,world,detector,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction,window_size,activation_threshold,dropout_probability,spurious_probability,heu_attack_rate,heu_recovery_rate,heu_leak_rate,heu_commitment_threshold
branch_baseline,branch,sliding_window,faithful,within_useful_manifold,420,280,25,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.553351,0.857143,0.857143,3,0.75,0.0,0.0,0.8,0.35,0.02,0.65
branch_baseline,branch,heu_like,faithful,within_useful_manifold,420,280,25,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.553351,0.857143,0.857143,3,0.75,0.0,0.0,0.8,0.35,0.02,0.65
overlap_baseline,overlap,sliding_window,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.571007,0.9,0.9,3,0.75,0.0,0.0,0.8,0.35,0.02,0.65
overlap_baseline,overlap,heu_like,faithful,within_useful_manifold,600,400,30,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.571007,0.9,0.9,3,0.75,0.0,0.0,0.8,0.35,0.02,0.65
hostile_unique_baseline,hostile_unique,sliding_window,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.0,0.0,0.8,0.35,0.02,0.65
hostile_unique_baseline,hostile_unique,heu_like,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.0,0.0,0.8,0.35,0.02,0.65
branch_dropout_005,branch,sliding_window,failed,coverage_degradation;motif_loss,302,165,21,22;23,0.366667,0.761025,0.0,1.0,0.84,0.0,1.0,0.506664,0.849057,0.875912,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65
branch_dropout_005,branch,heu_like,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,447,307,36,52;57,0.866667,0.943301,0.0,0.849057,0.915789,0.031579,0.817478,0.53869,0.856287,0.85,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65
overlap_dropout_005,overlap,sliding_window,failed,coverage_degradation;motif_loss,432,235,22,22;18;24,0.3,0.761233,0.0,1.0,0.873239,0.0,1.0,0.534532,0.888889,0.918782,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65
overlap_dropout_005,overlap,heu_like,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,658,458,47,56;47;54,0.783333,0.946843,0.0,0.85,0.892857,0.092857,0.757143,0.559876,0.903101,0.875,3,0.75,0.05,0.0,0.8,0.35,0.02,0.65
branch_spurious_005,branch,sliding_window,degraded,coverage_degradation,420,280,31,60;60,1.0,0.765725,0.0,1.0,1.0,0.0,1.0,0.550197,0.857143,0.857143,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65
branch_spurious_005,branch,heu_like,failed,coverage_degradation;motif_loss;history_prediction_failure,898,758,230,7;4,0.066667,0.931328,0.0,0.356061,0.40367,0.0,0.356061,0.227644,0.349515,0.014286,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65
overlap_spurious_005,overlap,sliding_window,degraded,coverage_degradation,600,400,29,60;60;60,1.0,0.785014,0.0,1.0,1.0,0.0,1.0,0.570552,0.9,0.9,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65
overlap_spurious_005,overlap,heu_like,failed,coverage_degradation;motif_loss;history_prediction_failure,1218,1018,307,10;12;11,0.166667,0.929645,0.0,0.234637,0.384615,0.0,0.234637,0.266019,0.410758,0.05,3,0.75,0.0,0.05,0.8,0.35,0.02,0.65
branch_threshold_low,branch,sliding_window,failed,overcapture,418,278,25,60;60,1.0,1.554762,0.554762,1.0,1.0,0.0,1.0,0.560449,0.869565,0.857143,3,0.6,0.0,0.0,0.8,0.35,0.02,0.65
branch_threshold_low,branch,heu_like,faithful,within_useful_manifold,420,280,26,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.554386,0.857143,0.857143,3,0.6,0.0,0.0,0.8,0.35,0.02,0.65
branch_threshold_high,branch,sliding_window,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.05,0.0,0.0,0.8,0.35,0.02,0.65
branch_threshold_high,branch,heu_like,failed,overcapture,420,280,28,60;60,1.0,6.364557,5.364557,1.0,1.0,0.0,1.0,0.551015,0.857143,0.857143,3,1.05,0.0,0.0,0.8,0.35,0.02,0.65
branch_window_blur,branch,sliding_window,failed,undercapture;motif_loss,163,53,14,0;2,0.0,0.590476,0.0,1.0,0.733333,0.0,1.0,0.487366,1.0,0.890909,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65
branch_window_blur,branch,heu_like,faithful,within_useful_manifold,420,280,26,60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.553563,0.857143,0.857143,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65
overlap_window_blur,overlap,sliding_window,failed,undercapture;motif_loss,244,88,22,5;6;4,0.066667,0.619444,0.0,1.0,0.777778,0.0,1.0,0.480359,0.882353,0.910256,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65
overlap_window_blur,overlap,heu_like,faithful,within_useful_manifold,600,400,34,60;60;60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.567534,0.9,0.9,4,0.75,0.0,0.0,0.8,0.35,0.02,0.65
